,Région,Rayonnement solaire global (W/m2),Année,Heure,Saison,Energie (W.h-1.m2-1),mois,an,Tarif ≤ 9 kWc,Tarif ≤ 3 kWc
153,Nouvelle-Aquitaine,4.52,2020-01-20,00:00:00,Hiver,0.0,1,2020,15.75,18.53
154,Nouvelle-Aquitaine,102.57,2020-01-20,18:00:00,Hiver,5.698333333333333,1,2020,15.75,18.53
155,Nouvelle-Aquitaine,266.02,2020-01-20,15:00:00,Hiver,17.734666666666666,1,2020,15.75,18.53
156,Nouvelle-Aquitaine,10.12,2020-01-20,21:00:00,Hiver,0.4819047619047619,1,2020,15.75,18.53
157,Nouvelle-Aquitaine,88.39,2020-01-20,09:00:00,Hiver,9.821111111111112,1,2020,15.75,18.53
158,Nouvelle-Aquitaine,253.52,2020-01-20,12:00:00,Hiver,21.12666666666667,1,2020,15.75,18.53
159,Nouvelle-Aquitaine,0.0,2020-01-20,03:00:00,Hiver,0.0,1,2020,15.75,18.53
160,Nouvelle-Aquitaine,0.0,2020-01-21,06:00:00,Hiver,0.0,1,2020,15.75,18.53
161,Nouvelle-Aquitaine,0.0,2020-01-21,03:00:00,Hiver,0.0,1,2020,15.75,18.53
162,Nouvelle-Aquitaine,8.97,2020-01-21,21:00:00,Hiver,0.42714285714285716,1,2020,15.75,18.53
163,Nouvelle-Aquitaine,79.82,2020-01-21,09:00:00,Hiver,8.868888888888888,1,2020,15.75,18.53
164,Nouvelle-Aquitaine,238.26,2020-01-21,15:00:00,Hiver,15.883999999999999,1,2020,15.75,18.53
165,Nouvelle-Aquitaine,96.94,2020-01-21,18:00:00,Hiver,5.385555555555555,1,2020,15.75,18.53
166,Nouvelle-Aquitaine,210.03,2020-01-21,12:00:00,Hiver,17.5025,1,2020,15.75,18.53
167,Nouvelle-Aquitaine,10.12,2020-01-21,00:00:00,Hiver,0.0,1,2020,15.75,18.53
168,Nouvelle-Aquitaine,84.6,2020-01-22,18:00:00,Hiver,4.699999999999999,1,2020,15.75,18.53
169,Nouvelle-Aquitaine,77.99,2020-01-22,09:00:00,Hiver,8.665555555555555,1,2020,15.75,18.53
170,Nouvelle-Aquitaine,0.0,2020-01-22,06:00:00,Hiver,0.0,1,2020,15.75,18.53
171,Nouvelle-Aquitaine,183.73,2020-01-22,15:00:00,Hiver,12.248666666666667,1,2020,15.75,18.53
172,Nouvelle-Aquitaine,8.83,2020-01-22,21:00:00,Hiver,0.4204761904761905,1,2020,15.75,18.53
173,Nouvelle-Aquitaine,174.8,2020-01-22,12:00:00,Hiver,14.566666666666668,1,2020,15.75,18.53
174,Nouvelle-Aquitaine,0.0,2020-01-22,03:00:00,Hiver,0.0,1,2020,15.75,18.53
175,Nouvelle-Aquitaine,8.97,2020-01-22,00:00:00,Hiver,0.0,1,2020,15.75,18.53
176,Nouvelle-Aquitaine,0.0,2020-01-23,03:00:00,Hiver,0.0,1,2020,15.75,18.53
177,Nouvelle-Aquitaine,8.83,2020-01-23,00:00:00,Hiver,0.0,1,2020,15.75,18.53
178,Nouvelle-Aquitaine,8.1,2020-01-23,21:00:00,Hiver,0.3857142857142857,1,2020,15.75,18.53
179,Nouvelle-Aquitaine,0.0,2020-01-23,06:00:00,Hiver,0.0,1,2020,15.75,18.53
180,Nouvelle-Aquitaine,150.87,2020-01-23,12:00:00,Hiver,12.5725,1,2020,15.75,18.53
181,Nouvelle-Aquitaine,87.96,2020-01-23,18:00:00,Hiver,4.886666666666667,1,2020,15.75,18.53
182,Nouvelle-Aquitaine,63.97,2020-01-23,09:00:00,Hiver,7.107777777777778,1,2020,15.75,18.53
183,Nouvelle-Aquitaine,188.07,2020-01-23,15:00:00,Hiver,12.538,1,2020,15.75,18.53
184,Nouvelle-Aquitaine,261.75,2020-01-24,15:00:00,Hiver,17.45,1,2020,15.75,18.53
185,Nouvelle-Aquitaine,234.3,2020-01-24,12:00:00,Hiver,19.525000000000002,1,2020,15.75,18.53
186,Nouvelle-Aquitaine,8.09,2020-01-24,00:00:00,Hiver,0.0,1,2020,15.75,18.53
187,Nouvelle-Aquitaine,0.0,2020-01-24,03:00:00,Hiver,0.0,1,2020,15.75,18.53
188,Nouvelle-Aquitaine,103.35,2020-01-24,18:00:00,Hiver,5.741666666666666,1,2020,15.75,18.53
189,Nouvelle-Aquitaine,82.09,2020-01-24,09:00:00,Hiver,9.121111111111112,1,2020,15.75,18.53
190,Nouvelle-Aquitaine,8.96,2020-01-24,21:00:00,Hiver,0.4266666666666667,1,2020,15.75,18.53
191,Nouvelle-Aquitaine,0.0,2020-01-24,06:00:00,Hiver,0.0,1,2020,15.75,18.53
192,Nouvelle-Aquitaine,69.99,2020-01-25,09:00:00,Hiver,7.776666666666666,1,2020,15.75,18.53
193,Nouvelle-Aquitaine,0.0,2020-01-25,06:00:00,Hiver,0.0,1,2020,15.75,18.53
194,Nouvelle-Aquitaine,75.03,2020-01-25,18:00:00,Hiver,4.168333333333333,1,2020,15.75,18.53
195,Nouvelle-Aquitaine,206.78,2020-01-25,15:00:00,Hiver,13.785333333333334,1,2020,15.75,18.53
196,Nouvelle-Aquitaine,10.52,2020-01-25,21:00:00,Hiver,0.5009523809523809,1,2020,15.75,18.53
197,Nouvelle-Aquitaine,8.96,2020-01-25,00:00:00,Hiver,0.0,1,2020,15.75,18.53
198,Nouvelle-Aquitaine,207.49,2020-01-25,12:00:00,Hiver,17.290833333333335,1,2020,15.75,18.53
199,Nouvelle-Aquitaine,0.0,2020-01-25,03:00:00,Hiver,0.0,1,2020,15.75,18.53
200,Nouvelle-Aquitaine,209.3,2020-01-26,12:00:00,Hiver,17.441666666666666,1,2020,15.75,18.53
201,Nouvelle-Aquitaine,224.56,2020-01-26,15:00:00,Hiver,14.970666666666666,1,2020,15.75,18.53
202,Nouvelle-Aquitaine,10.52,2020-01-26,00:00:00,Hiver,0.0,1,2020,15.75,18.53
203,Nouvelle-Aquitaine,0.0,2020-01-26,06:00:00,Hiver,0.0,1,2020,15.75,18.53
204,Nouvelle-Aquitaine,92.77,2020-01-26,18:00:00,Hiver,5.153888888888889,1,2020,15.75,18.53
205,Nouvelle-Aquitaine,8.74,2020-01-26,21:00:00,Hiver,0.4161904761904762,1,2020,15.75,18.53
206,Nouvelle-Aquitaine,0.0,2020-01-26,03:00:00,Hiver,0.0,1,2020,15.75,18.53
207,Nouvelle-Aquitaine,78.01,2020-01-26,09:00:00,Hiver,8.66777777777778,1,2020,15.75,18.53
208,Nouvelle-Aquitaine,163.76,2020-01-27,12:00:00,Hiver,13.646666666666667,1,2020,15.75,18.53
209,Nouvelle-Aquitaine,0.0,2020-01-27,03:00:00,Hiver,0.0,1,2020,15.75,18.53
210,Nouvelle-Aquitaine,0.0,2020-01-27,06:00:00,Hiver,0.0,1,2020,15.75,18.53
211,Nouvelle-Aquitaine,8.74,2020-01-27,00:00:00,Hiver,0.0,1,2020,15.75,18.53
212,Nouvelle-Aquitaine,77.12,2020-01-27,09:00:00,Hiver,8.568888888888889,1,2020,15.75,18.53
213,Nouvelle-Aquitaine,11.57,2020-01-27,21:00:00,Hiver,0.550952380952381,1,2020,15.75,18.53
214,Nouvelle-Aquitaine,90.77,2020-01-27,18:00:00,Hiver,5.042777777777777,1,2020,15.75,18.53
215,Nouvelle-Aquitaine,167.35,2020-01-27,15:00:00,Hiver,11.156666666666666,1,2020,15.75,18.53
216,Nouvelle-Aquitaine,44.89,2020-01-28,09:00:00,Hiver,4.987777777777778,1,2020,15.75,18.53
217,Nouvelle-Aquitaine,54.72,2020-01-28,18:00:00,Hiver,3.04,1,2020,15.75,18.53
218,Nouvelle-Aquitaine,0.0,2020-01-28,06:00:00,Hiver,0.0,1,2020,15.75,18.53
219,Nouvelle-Aquitaine,130.82,2020-01-28,12:00:00,Hiver,10.901666666666666,1,2020,15.75,18.53
220,Nouvelle-Aquitaine,6.0,2020-01-28,21:00:00,Hiver,0.2857142857142857,1,2020,15.75,18.53
221,Nouvelle-Aquitaine,144.81,2020-01-28,15:00:00,Hiver,9.654,1,2020,15.75,18.53
222,Nouvelle-Aquitaine,11.56,2020-01-28,00:00:00,Hiver,0.0,1,2020,15.75,18.53
223,Nouvelle-Aquitaine,0.0,2020-01-28,03:00:00,Hiver,0.0,1,2020,15.75,18.53
224,Nouvelle-Aquitaine,160.3,2020-01-29,15:00:00,Hiver,10.686666666666667,1,2020,15.75,18.53
225,Nouvelle-Aquitaine,6.36,2020-01-29,21:00:00,Hiver,0.3028571428571429,1,2020,15.75,18.53
226,Nouvelle-Aquitaine,158.51,2020-01-29,12:00:00,Hiver,13.209166666666667,1,2020,15.75,18.53
227,Nouvelle-Aquitaine,66.01,2020-01-29,09:00:00,Hiver,7.334444444444445,1,2020,15.75,18.53
228,Nouvelle-Aquitaine,0.0,2020-01-29,03:00:00,Hiver,0.0,1,2020,15.75,18.53
229,Nouvelle-Aquitaine,77.0,2020-01-29,18:00:00,Hiver,4.277777777777778,1,2020,15.75,18.53
230,Nouvelle-Aquitaine,6.0,2020-01-29,00:00:00,Hiver,0.0,1,2020,15.75,18.53
231,Nouvelle-Aquitaine,0.0,2020-01-29,06:00:00,Hiver,0.0,1,2020,15.75,18.53
232,Nouvelle-Aquitaine,137.99,2020-01-30,15:00:00,Hiver,9.199333333333334,1,2020,15.75,18.53
233,Nouvelle-Aquitaine,69.19,2020-01-30,09:00:00,Hiver,7.687777777777778,1,2020,15.75,18.53
234,Nouvelle-Aquitaine,79.44,2020-01-30,18:00:00,Hiver,4.413333333333333,1,2020,15.75,18.53
235,Nouvelle-Aquitaine,128.85,2020-01-30,12:00:00,Hiver,10.737499999999999,1,2020,15.75,18.53
236,Nouvelle-Aquitaine,0.0,2020-01-30,06:00:00,Hiver,0.0,1,2020,15.75,18.53
237,Nouvelle-Aquitaine,11.33,2020-01-30,21:00:00,Hiver,0.5395238095238095,1,2020,15.75,18.53
238,Nouvelle-Aquitaine,0.0,2020-01-30,03:00:00,Hiver,0.0,1,2020,15.75,18.53
